,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,VSA,Sch1,Sch2,Sch3,Sch4,SchNA
49,45-54,0,Left school at 16 years,UK,White,37.0,34.0,44.0,42.0,37.0,0.19268,-0.84637,1,1,1,0,1,CL5,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
50,25-34,1,Masters degree,UK,Mixed-White/Black,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,35-44,0,Masters degree,UK,White,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.84637,1,1,1,1,1,CL3,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
52,45-54,0,Professional certificate/ diploma,Canada,White,47.0,46.0,42.0,37.0,27.0,1.86203,1.92173,1,1,1,1,1,CL2,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
53,55-64,1,University degree,UK,White,34.0,40.0,36.0,45.0,36.0,0.52975,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,45-54,0,Masters degree,UK,White,23.0,39.0,53.0,45.0,44.0,-0.21712,-0.21575,1,1,1,0,1,CL1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
55,55-64,0,Left school at 16 years,UK,White,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,1,0,0,0,1,CL2,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1
56,55-64,1,Professional certificate/ diploma,UK,White,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,35-44,1,"Some college or university, no certificate or degree",UK,White,36.0,40.0,34.0,43.0,44.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,25-34,1,University degree,UK,White,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,45-54,0,Left school at 18 years,UK,White,38.0,44.0,46.0,40.0,39.0,1.86203,1.2247,1,1,1,0,1,CL5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
60,45-54,0,University degree,UK,White,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,25-34,1,Doctorate degree,UK,White,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
62,45-54,0,Masters degree,UK,-0.50212,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,1,1,0,0,1,CL1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
63,25-34,0,University degree,UK,White,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64,45-54,0,University degree,UK,White,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,45-54,0,Doctorate degree,UK,White,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,1,1,0,1,1,CL6,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
66,35-44,0,"Some college or university, no certificate or degree",UK,White,43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
67,45-54,0,Left school at 16 years,UK,White,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,1,0,0,0,0,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,25-34,0,Masters degree,UK,White,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,1,1,1,0,1,CL2,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
69,35-44,0,Professional certificate/ diploma,Other,White,27.0,40.0,48.0,42.0,40.0,-0.21712,0.07987,1,1,1,0,1,CL2,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1
70,45-54,1,Left school at 16 years,UK,White,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.84637,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
71,25-34,0,"Some college or university, no certificate or degree",UK,White,32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,1,1,1,0,1,CL2,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1
72,45-54,1,Left school at 18 years,Canada,White,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.84637,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,45-54,0,Left school at 18 years,UK,White,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,1,1,1,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
74,45-54,0,Professional certificate/ diploma,UK,White,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,65+,1,Left school at 16 years,UK,White,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
76,25-34,0,University degree,UK,White,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,45-54,1,Left school at 17 years,Canada,White,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
78,35-44,0,University degree,UK,White,37.0,28.0,42.0,35.0,39.0,-0.21712,-2.07848,1,1,0,0,1,CL2,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
79,35-44,0,"Some college or university, no certificate or degree",UK,White,28.0,34.0,-2.09015,32.0,25.0,-2.55524,-1.18084,1,0,1,0,1,CL1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1
80,35-44,0,Professional certificate/ diploma,UK,White,32.0,34.0,32.0,50.0,37.0,-0.21712,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
81,65+,1,Doctorate degree,Canada,White,36.0,42.0,49.0,42.0,51.0,-0.21712,-0.21575,1,0,0,1,1,CL1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
82,55-64,1,University degree,UK,White,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,1,1,1,1,1,CL2,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
83,55-64,0,Masters degree,Canada,White,19.0,49.0,39.0,47.0,51.0,-0.21712,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,55-64,1,Left school at 17 years,UK,Mixed-White/Black,46.0,33.0,38.0,52.0,29.0,0.19268,-0.21575,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
85,45-54,0,Left school at 16 years,UK,White,32.0,41.0,44.0,41.0,41.0,-1.37983,0.07987,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,25-34,1,Left school at 18 years,UK,White,31.0,40.0,35.0,44.0,45.0,0.52975,1.2247,1,0,1,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
87,35-44,0,"Some college or university, no certificate or degree",UK,White,43.0,39.0,38.0,44.0,41.0,-0.21712,0.40148,1,0,1,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
88,55-64,0,Left school at 16 years,UK,White,27.0,41.0,43.0,41.0,44.0,-0.71126,0.40148,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,35-44,1,"Some college or university, no certificate or degree",UK,White,39.0,26.0,36.0,38.0,38.0,-1.37983,-2.07848,1,0,1,1,1,CL2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
90,35-44,1,Masters degree,UK,White,45.0,36.0,48.0,39.0,40.0,0.52975,-0.21575,1,1,1,1,1,CL0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1
91,35-44,1,Masters degree,UK,White,49.0,42.0,51.0,45.0,36.0,-1.37983,0.07987,1,0,0,0,1,CL3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
92,35-44,0,Professional certificate/ diploma,Canada,White,40.0,37.0,51.0,45.0,47.0,0.88113,0.7654,1,0,0,1,1,CL1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
93,25-34,0,Left school at 18 years,UK,White,22.0,38.0,43.0,45.0,42.0,-0.71126,-0.84637,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
94,65+,1,Left school at 16 years,UK,White,34.0,34.0,39.0,48.0,45.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,45-54,0,Masters degree,UK,White,29.0,36.0,39.0,47.0,41.0,-1.37983,-2.07848,1,0,0,1,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
96,45-54,0,Masters degree,UK,White,31.0,42.0,53.0,32.0,49.0,0.52975,-0.21575,1,1,1,1,1,CL1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
97,35-44,1,University degree,Canada,White,37.0,32.0,48.0,42.0,47.0,-1.37983,-1.54858,1,1,0,0,1,CL2,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
98,45-54,1,Masters degree,UK,White,31.0,44.0,44.0,39.0,33.0,0.19268,-0.84637,1,1,0,1,1,CL1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
99,35-44,0,Doctorate degree,Canada,White,25.0,37.0,46.0,39.0,48.0,-0.21712,1.2247,1,1,0,0,1,CL1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
100,25-34,1,University degree,UK,White,29.0,58.0,51.0,49.0,52.0,0.52975,0.40148,1,1,0,1,1,CL3,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
101,25-34,0,Masters degree,Other,White,26.0,55.0,50.0,33.0,39.0,-0.21712,1.2247,1,1,1,1,1,CL6,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1
102,45-54,1,Left school at 16 years,-0.09765,White,30.0,43.0,34.0,42.0,48.0,-1.37983,-0.84637,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,45-54,0,Left school at 18 years,UK,White,30.0,48.0,55.0,34.0,42.0,-0.71126,1.2247,1,1,1,1,1,CL1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
104,45-54,1,Professional certificate/ diploma,Canada,White,36.0,44.0,44.0,41.0,43.0,0.19268,0.7654,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,25-34,1,"Some college or university, no certificate or degree",Canada,White,27.0,41.0,45.0,50.0,46.0,-0.71126,0.07987,1,0,0,0,1,CL6,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
106,35-44,0,Professional certificate/ diploma,UK,White,18.0,43.0,33.0,38.0,54.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,25-34,1,"Some college or university, no certificate or degree",UK,White,46.0,38.0,33.0,45.0,39.0,-1.37983,-0.84637,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,35-44,1,Left school at 16 years,UK,White,37.0,40.0,37.0,38.0,46.0,0.52975,-0.21575,1,1,0,0,1,CL0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
109,25-34,1,University degree,UK,White,31.0,53.0,47.0,44.0,47.0,1.86203,1.2247,1,0,0,1,1,CL3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
110,45-54,1,"Some college or university, no certificate or degree",UK,White,28.0,43.0,36.0,37.0,38.0,-0.71126,0.07987,1,1,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
111,45-54,0,Masters degree,UK,-0.50212,34.0,42.0,47.0,41.0,41.0,0.19268,-0.52593,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,25-34,0,Masters degree,UK,White,39.0,32.0,40.0,39.0,37.0,0.19268,0.40148,1,1,0,0,1,CL3,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
113,25-34,1,University degree,UK,White,25.0,42.0,52.0,35.0,36.0,-0.21712,-0.21575,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,45-54,1,Professional certificate/ diploma,UK,White,36.0,44.0,48.0,44.0,47.0,0.19268,-0.21575,1,0,0,1,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
115,35-44,0,"Some college or university, no certificate or degree",UK,White,17.0,52.0,55.0,38.0,31.0,1.86203,1.2247,1,1,1,1,1,CL6,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1
116,25-34,1,Professional certificate/ diploma,Canada,White,38.0,36.0,40.0,45.0,49.0,-1.37983,-2.07848,1,1,1,0,1,CL2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
117,35-44,0,Professional certificate/ diploma,Canada,White,42.0,36.0,47.0,31.0,39.0,0.52975,-0.21575,1,0,0,0,1,CL2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
118,25-34,1,University degree,UK,White,51.0,45.0,55.0,44.0,33.0,0.52975,0.40148,1,1,1,1,1,CL1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
119,35-44,1,"Some college or university, no certificate or degree",USA,White,53.0,26.0,29.0,50.0,44.0,-0.21712,-1.54858,1,0,0,1,1,CL1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1
120,35-44,1,University degree,UK,White,32.0,44.0,39.0,45.0,51.0,-0.21712,-0.84637,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
121,25-34,1,Masters degree,UK,White,26.0,44.0,39.0,36.0,47.0,0.19268,1.92173,1,1,0,0,1,CL1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
122,35-44,1,Professional certificate/ diploma,UK,White,50.0,31.0,35.0,29.0,36.0,0.52975,0.07987,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
123,55-64,0,Masters degree,UK,White,38.0,41.0,45.0,41.0,35.0,-0.21712,-0.52593,1,0,0,0,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
124,25-34,1,University degree,UK,White,38.0,35.0,43.0,43.0,43.0,1.29221,0.07987,1,1,0,0,1,CL3,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
125,45-54,0,Left school at 16 years,UK,White,32.0,52.0,48.0,46.0,46.0,-0.21712,-0.21575,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,55-64,0,University degree,UK,White,31.0,48.0,49.0,44.0,49.0,0.52975,0.40148,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
127,45-54,0,University degree,UK,White,25.0,44.0,38.0,40.0,42.0,-0.21712,-0.84637,1,1,1,0,1,CL1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
128,45-54,1,Left school at 17 years,UK,White,32.0,34.0,40.0,45.0,48.0,-1.37983,-2.07848,1,0,0,0,0,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,35-44,0,Doctorate degree,UK,-0.50212,36.0,44.0,47.0,44.0,44.0,-0.21712,-1.18084,0,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
130,45-54,1,Masters degree,UK,White,28.0,46.0,38.0,49.0,45.0,0.19268,0.40148,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,45-54,1,Left school at 16 years,UK,White,45.0,42.0,36.0,46.0,55.0,-0.71126,-1.18084,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,45-54,1,Left school at 16 years,UK,Other,22.0,39.0,37.0,57.0,46.0,-1.37983,-2.07848,1,0,0,1,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
133,35-44,1,Left school at 18 years,Republic of Ireland,White,33.0,36.0,42.0,42.0,44.0,-1.37983,-1.54858,1,0,0,0,1,CL0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
134,35-44,0,Masters degree,UK,White,35.0,41.0,48.0,42.0,43.0,0.52975,0.40148,1,0,0,1,1,CL1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
135,25-34,1,Masters degree,UK,Mixed-White/Asian,60.0,29.0,44.0,47.0,37.0,-1.37983,0.40148,1,1,0,0,1,CL1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
